arm,group,dataset,subject,seed,protocol,token,ends_at_ms,test_acc
reader,cohort,2a,2,2025,within,1,128.0,26.3889
reader,cohort,2a,2,2025,within,2,256.0,30.5556
reader,cohort,2a,2,2025,within,3,384.0,41.3194
reader,cohort,2a,2,2025,within,4,512.0,44.7917
reader,cohort,2a,2,2025,within,5,640.0,47.2222
reader,cohort,2a,2,2025,within,6,768.0,55.9028
reader,cohort,2a,2,2025,within,7,896.0,57.6389
reader,cohort,2a,2,2025,within,8,1024.0,52.4306
reader,cohort,2a,2,2025,within,9,1152.0,53.4722
reader,cohort,2a,2,2025,within,10,1280.0,54.5139
reader,cohort,2a,2,2025,within,11,1408.0,57.9861
reader,cohort,2a,2,2025,within,12,1536.0,59.375
reader,cohort,2a,2,2025,within,13,1664.0,60.7639
reader,cohort,2a,2,2025,within,14,1792.0,63.8889
reader,cohort,2a,2,2025,within,15,1920.0,62.5
reader,cohort,2a,2,2025,within,16,2048.0,65.625
reader,cohort,2a,2,2025,within,17,2176.0,64.2361
reader,cohort,2a,2,2025,within,18,2304.0,66.6667
reader,cohort,2a,2,2025,within,19,2432.0,63.8889
reader,cohort,2a,2,2025,within,20,2560.0,70.1389
reader,cohort,2a,2,2025,within,21,2688.0,68.75
reader,cohort,2a,2,2025,within,22,2816.0,67.3611
reader,cohort,2a,2,2025,within,23,2944.0,69.0972
reader,cohort,2a,2,2025,within,24,3072.0,69.4444
reader,cohort,2a,2,2025,within,25,3200.0,67.0139
reader,cohort,2a,2,2025,within,26,3328.0,69.0972
reader,cohort,2a,2,2025,within,27,3456.0,70.4861
reader,cohort,2a,2,2025,within,28,3584.0,70.1389
reader,cohort,2a,2,2025,within,29,3712.0,70.8333
reader,cohort,2a,2,2025,within,30,3840.0,70.4861
reader,cohort,2a,2,2025,within,31,3968.0,72.9167
reader,cohort,2a,2,2025,within,32,4096.0,75.0
reader,cohort,2a,2,2026,within,1,128.0,25.0
reader,cohort,2a,2,2026,within,2,256.0,25.0
reader,cohort,2a,2,2026,within,3,384.0,44.0972
reader,cohort,2a,2,2026,within,4,512.0,50.0
reader,cohort,2a,2,2026,within,5,640.0,49.3056
reader,cohort,2a,2,2026,within,6,768.0,57.6389
reader,cohort,2a,2,2026,within,7,896.0,61.8056
reader,cohort,2a,2,2026,within,8,1024.0,67.7083
reader,cohort,2a,2,2026,within,9,1152.0,67.3611
reader,cohort,2a,2,2026,within,10,1280.0,68.0556
reader,cohort,2a,2,2026,within,11,1408.0,68.4028
reader,cohort,2a,2,2026,within,12,1536.0,69.0972
reader,cohort,2a,2,2026,within,13,1664.0,66.3194
reader,cohort,2a,2,2026,within,14,1792.0,69.7917
reader,cohort,2a,2,2026,within,15,1920.0,70.1389
reader,cohort,2a,2,2026,within,16,2048.0,69.7917
reader,cohort,2a,2,2026,within,17,2176.0,69.0972
reader,cohort,2a,2,2026,within,18,2304.0,67.7083
reader,cohort,2a,2,2026,within,19,2432.0,70.8333
reader,cohort,2a,2,2026,within,20,2560.0,71.1806
reader,cohort,2a,2,2026,within,21,2688.0,70.4861
reader,cohort,2a,2,2026,within,22,2816.0,71.875
reader,cohort,2a,2,2026,within,23,2944.0,70.4861
reader,cohort,2a,2,2026,within,24,3072.0,71.5278
reader,cohort,2a,2,2026,within,25,3200.0,69.7917
reader,cohort,2a,2,2026,within,26,3328.0,70.4861
reader,cohort,2a,2,2026,within,27,3456.0,69.0972
reader,cohort,2a,2,2026,within,28,3584.0,69.7917
reader,cohort,2a,2,2026,within,29,3712.0,70.4861
reader,cohort,2a,2,2026,within,30,3840.0,71.1806
reader,cohort,2a,2,2026,within,31,3968.0,70.4861
reader,cohort,2a,2,2026,within,32,4096.0,70.4861
reader,cohort,2a,2,2027,within,1,128.0,25.3472
reader,cohort,2a,2,2027,within,2,256.0,25.6944
reader,cohort,2a,2,2027,within,3,384.0,42.0139
reader,cohort,2a,2,2027,within,4,512.0,47.9167
reader,cohort,2a,2,2027,within,5,640.0,48.6111
reader,cohort,2a,2,2027,within,6,768.0,51.7361
reader,cohort,2a,2,2027,within,7,896.0,54.5139
reader,cohort,2a,2,2027,within,8,1024.0,55.9028
reader,cohort,2a,2,2027,within,9,1152.0,56.25
reader,cohort,2a,2,2027,within,10,1280.0,57.9861
reader,cohort,2a,2,2027,within,11,1408.0,57.2917
reader,cohort,2a,2,2027,within,12,1536.0,58.3333
reader,cohort,2a,2,2027,within,13,1664.0,62.1528
reader,cohort,2a,2,2027,within,14,1792.0,62.5
reader,cohort,2a,2,2027,within,15,1920.0,64.5833
reader,cohort,2a,2,2027,within,16,2048.0,68.0556
reader,cohort,2a,2,2027,within,17,2176.0,69.0972
reader,cohort,2a,2,2027,within,18,2304.0,72.9167
reader,cohort,2a,2,2027,within,19,2432.0,72.2222
reader,cohort,2a,2,2027,within,20,2560.0,72.9167
reader,cohort,2a,2,2027,within,21,2688.0,73.9583
reader,cohort,2a,2,2027,within,22,2816.0,74.3056
reader,cohort,2a,2,2027,within,23,2944.0,73.9583
reader,cohort,2a,2,2027,within,24,3072.0,72.9167
reader,cohort,2a,2,2027,within,25,3200.0,72.5694
reader,cohort,2a,2,2027,within,26,3328.0,73.6111
reader,cohort,2a,2,2027,within,27,3456.0,73.6111
reader,cohort,2a,2,2027,within,28,3584.0,73.9583
reader,cohort,2a,2,2027,within,29,3712.0,72.5694
reader,cohort,2a,2,2027,within,30,3840.0,75.0
reader,cohort,2a,2,2027,within,31,3968.0,76.7361
reader,cohort,2a,2,2027,within,32,4096.0,76.3889
reader,cohort,2a,3,2025,within,1,128.0,25.3472
reader,cohort,2a,3,2025,within,2,256.0,34.0278
reader,cohort,2a,3,2025,within,3,384.0,40.9722
reader,cohort,2a,3,2025,within,4,512.0,64.9306
reader,cohort,2a,3,2025,within,5,640.0,70.8333
reader,cohort,2a,3,2025,within,6,768.0,72.5694
reader,cohort,2a,3,2025,within,7,896.0,74.6528
reader,cohort,2a,3,2025,within,8,1024.0,84.7222
reader,cohort,2a,3,2025,within,9,1152.0,85.4167
reader,cohort,2a,3,2025,within,10,1280.0,88.8889
reader,cohort,2a,3,2025,within,11,1408.0,87.8472
reader,cohort,2a,3,2025,within,12,1536.0,88.1944
reader,cohort,2a,3,2025,within,13,1664.0,88.8889
reader,cohort,2a,3,2025,within,14,1792.0,90.9722
reader,cohort,2a,3,2025,within,15,1920.0,88.8889
reader,cohort,2a,3,2025,within,16,2048.0,91.6667
reader,cohort,2a,3,2025,within,17,2176.0,91.6667
reader,cohort,2a,3,2025,within,18,2304.0,92.7083
reader,cohort,2a,3,2025,within,19,2432.0,93.4028
reader,cohort,2a,3,2025,within,20,2560.0,94.7917
reader,cohort,2a,3,2025,within,21,2688.0,94.0972
reader,cohort,2a,3,2025,within,22,2816.0,95.1389
reader,cohort,2a,3,2025,within,23,2944.0,94.7917
reader,cohort,2a,3,2025,within,24,3072.0,94.7917
reader,cohort,2a,3,2025,within,25,3200.0,94.4444
reader,cohort,2a,3,2025,within,26,3328.0,94.7917
reader,cohort,2a,3,2025,within,27,3456.0,94.7917
reader,cohort,2a,3,2025,within,28,3584.0,92.3611
reader,cohort,2a,3,2025,within,29,3712.0,93.75
reader,cohort,2a,3,2025,within,30,3840.0,93.0556
reader,cohort,2a,3,2025,within,31,3968.0,95.1389
reader,cohort,2a,3,2025,within,32,4096.0,94.4444
reader,cohort,2a,3,2026,within,1,128.0,28.4722
reader,cohort,2a,3,2026,within,2,256.0,36.4583
reader,cohort,2a,3,2026,within,3,384.0,41.6667
reader,cohort,2a,3,2026,within,4,512.0,62.5
reader,cohort,2a,3,2026,within,5,640.0,60.7639
reader,cohort,2a,3,2026,within,6,768.0,70.1389
reader,cohort,2a,3,2026,within,7,896.0,77.7778
reader,cohort,2a,3,2026,within,8,1024.0,86.1111
reader,cohort,2a,3,2026,within,9,1152.0,90.2778
reader,cohort,2a,3,2026,within,10,1280.0,92.0139
reader,cohort,2a,3,2026,within,11,1408.0,93.0556
reader,cohort,2a,3,2026,within,12,1536.0,94.0972
reader,cohort,2a,3,2026,within,13,1664.0,94.4444
reader,cohort,2a,3,2026,within,14,1792.0,95.8333
reader,cohort,2a,3,2026,within,15,1920.0,95.4861
reader,cohort,2a,3,2026,within,16,2048.0,95.4861
reader,cohort,2a,3,2026,within,17,2176.0,95.4861
reader,cohort,2a,3,2026,within,18,2304.0,94.7917
reader,cohort,2a,3,2026,within,19,2432.0,95.1389
reader,cohort,2a,3,2026,within,20,2560.0,95.1389
reader,cohort,2a,3,2026,within,21,2688.0,94.7917
reader,cohort,2a,3,2026,within,22,2816.0,93.4028
reader,cohort,2a,3,2026,within,23,2944.0,92.7083
